State,Name,Start,Weekday,End,Days Length,Weeks Length
Alabama,Sat,4/4/20,Thu,4/30/20,26,3.7
Alaska,Sat,3/28/20,Tue,4/21/20,24,3.4
Arizona,Tue,3/31/20,Fri,5/15/20,45,6.4
Arkansas,,00/00/0000,,,,
California,Thu,3/19/20,,,,
Colorado,Thu,3/26/20,Sun,4/26/20,31,4.4
Connecticut,Mon,3/23/20,Wed,5/20/20,58,8.3
Delaware,Tue,3/24/20,,5/31/20,68,9.7
District of Columbia,Wed,4/1/20,Fri,5/29/20,58,8.3
Florida,Fri,4/3/20,Sun,5/3/20,30,4.3
Georgia,Fri,4/3/20,Thu,4/30/20,27,3.9
Hawaii,Mon,3/23/20,Sun,5/31/20,69,9.9
Idaho,Wed,3/25/20,Thu,4/30/20,36,5.1
Illinois,Sat,3/21/20,Sat,5/30/20,70,10.0
Indiana,Wed,3/25/20,Sun,5/3/20,39,5.6
Iowa,,00/00/0000,,,,
Kansas,Sun,3/29/20,Sun,5/3/20,35,5.0
Kentucky,Thu,3/26/20,,,,
Louisiana,Sun,3/22/20,Fri,5/15/20,54,7.7
Maryland,Mon,3/23/20,,,,
Maine,Thu,4/2/20,,,,
Massachusetts,Mon,3/23/20,Mon,5/18/20,56,8.0
Michigan,Tue,3/24/20,Mon,6/1/20,69,9.9
Minnesota,Fri,3/27/20,Sun,5/17/20,51,7.3
Mississippi,Fri,4/3/20,Mon,5/25/20,52,7.4
Missouri,Mon,4/6/20,Sun,5/3/20,27,3.9
Montana,Sat,3/28/20,Fri,4/24/20,27,3.9
Nebraska,,00/00/0000,,,,
Nevada,Fri,3/20/20,Fri,5/15/20,56,8.0
New Hampshire,Fri,3/27/20,Mon,6/15/20,80,11.4
New Jersey,Sat,3/21/20,,,,
New Mexico,Mon,3/23/20,Fri,8/28/20,158,22.6
New York,Sun,3/22/20,Sat,6/13/20,83,11.9
North Carolina,Mon,3/30/20,Fri,5/22/20,53,7.6
North Dakota,,00/00/0000,,,,
Ohio,Mon,3/23/20,Tue,5/19/20,57,8.1
Oklahoma,Thu,4/2/20,Thu,4/30/20,28,4.0
Oregon,Mon,3/23/20,,,,
Pennsylvania,Thu,4/2/20,Thu,6/4/20,63,9.0
Rhode Island,Sat,3/28/20,Fri,5/8/20,41,5.9
South Carolina,Tue,4/7/20,Mon,5/4/20,27,3.9
South Dakota,,00/00/0000,,,,
Tennessee,Thu,4/2/20,Thu,4/30/20,28,4.0
Texas,Tue,3/31/20,Thu,4/30/20,30,4.3
Utah,Fri,3/27/20,Fri,5/1/20,35,5.0
Vermont,Wed,3/25/20,Fri,5/15/20,51,7.3
Virginia,Mon,3/30/20,Wed,6/10/20,72,10.3
Washington,Tue,3/24/20,Sun,5/31/20,68,9.7
West Virgnia,Tue,3/24/20,,,,
Wisconsin,Wed,3/25/20,Wed,5/13/20,49,7.0
Wyoming,,00/00/0000,,,,
