incident_id,Date,REGION1,REGION2,state,Date of lockdown,city_or_county,address,killed,injured,mass_indicator,prepost_lockdown
2015849,2021-05-26,MIDWEST,EAST NORTH CENTRAL,Illinois,2020-03-21,Chicago,7200 block of S Princeton Ave,0,4,0,post
2015730,2021-05-26,WEST,PACIFIC,California,2020-03-19,San Jose,101 W Younger Ave,10,0,1,post
2014381,2021-05-24,MIDWEST,EAST NORTH CENTRAL,Ohio,2020-03-23,West Jefferson,127 Jackson St,4,0,1,post
2014343,2021-05-24,MIDWEST,EAST NORTH CENTRAL,Michigan,2020-03-24,Inkster,27000 block of Rosewood St,2,2,0,post
2013595,2021-05-23,NORTHEAST,MIDDLE ATLANTIC,New York,2020-03-22,Bay Shore,135 S Clinton Ave,0,4,0,post
2013096,2021-05-23,SOUTH,SOUTH ATLANTIC,Virginia,2020-03-30,Norfolk,3100 block of Westminster Ave,0,4,0,post
2013059,2021-05-23,NORTHEAST,MIDDLE ATLANTIC,New Jersey,2020-03-21,Paterson,Hillman St and E Main St,0,5,0,post
2013043,2021-05-22,MIDWEST,EAST NORTH CENTRAL,Ohio,2020-03-23,Columbus,233 S Civic Center Dr,1,5,0,post
2012971,2021-05-23,MIDWEST,EAST NORTH CENTRAL,Illinois,2020-03-21,Chicago,3344 W Ohio St,0,4,0,post
2012765,2021-05-22,SOUTH,SOUTH ATLANTIC,South Carolina,2020-04-07,North Charleston,Piggly Wiggly Dr and W Jimtown Dr,1,13,0,post
2012633,2021-05-22,NORTHEAST,MIDDLE ATLANTIC,New Jersey,2020-03-21,Bridgeton,1029 E Commerce St,3,11,0,post
2012345,2021-05-22,SOUTH,SOUTH ATLANTIC,Delaware,2020-03-24,Wilmington,800 block of N Pine St,0,4,0,post
2011610,2021-05-22,MIDWEST,EAST NORTH CENTRAL,Indiana,2020-03-25,Fort Wayne,2177 Eden St,1,4,0,post
2011569,2021-05-22,MIDWEST,WEST NORTH CENTRAL,Minnesota,2020-03-27,Minneapolis,322 N 1st Ave,2,7,0,post
2011482,2021-05-21,NORTHEAST,MIDDLE ATLANTIC,New Jersey,2020-03-21,Jersey City,16 Brinkerhoff St,2,4,0,post
2011077,2021-05-21,NORTHEAST,MIDDLE ATLANTIC,New York,2020-03-22,Albany,1st St and Quail St,1,5,0,post
2010083,2021-05-20,MIDWEST,EAST NORTH CENTRAL,Indiana,2020-03-25,Evansville,800 block of Shadewood Ave,0,4,0,post
2008415,2021-05-18,WEST,PACIFIC,California,2020-03-19,Hemet,1200 block of Valencia Ave,1,4,0,post
2007722,2021-05-18,WEST,PACIFIC,California,2020-03-19,Oakland,I-580 and Seminary Ave,2,5,0,post
2006621,2021-05-16,SOUTH,SOUTH ATLANTIC,Georgia,2020-04-03,Columbus,2727 Manchester Expy,0,4,0,post
2006204,2021-05-16,SOUTH,SOUTH ATLANTIC,Georgia,2020-04-03,Stone Mountain,4766 Redan Rd,1,5,0,post
2005991,2021-05-16,MIDWEST,EAST NORTH CENTRAL,Ohio,2020-03-23,Cincinnati,7751 Reading Rd,1,3,0,post
2005813,2021-05-16,SOUTH,EAST SOUTH CENTRAL,Alabama,2020-04-04,Birmingham,1010 18th St S,1,4,0,post
2005776,2021-05-16,SOUTH,SOUTH ATLANTIC,Georgia,2020-04-03,Atlanta,630 Travis St NW,0,4,0,post
2005671,2021-05-16,MIDWEST,EAST NORTH CENTRAL,Michigan,2020-03-24,East Lansing,6170 Abbot Rd,0,5,0,post
2005238,2021-05-15,SOUTH,SOUTH ATLANTIC,District of Columbia,2020-04-01,Washington,3900 block of Minnesota Ave NE,1,3,0,post
2005196,2021-05-15,NORTHEAST,MIDDLE ATLANTIC,New York,2020-03-22,Bronx,1625 Webster Ave,1,4,0,post
2004666,2021-05-15,MIDWEST,EAST NORTH CENTRAL,Illinois,2020-03-21,Chicago,7800 block of S Loomis St,2,3,0,post
2004413,2021-05-14,NORTHEAST,MIDDLE ATLANTIC,Pennsylvania,2020-04-02,Philadelphia,5600 block of Market St,0,4,0,post
2003383,2021-05-13,SOUTH,SOUTH ATLANTIC,Georgia,2020-04-03,Augusta,201 E Telfair St,2,2,0,post
2003334,2021-05-13,NORTHEAST,NEW ENGLAND,Rhode Island,2020-03-28,Providence,87 Carolina Ave,0,8,0,post
2003167,2021-05-13,SOUTH,SOUTH ATLANTIC,District of Columbia,2020-04-01,Washington,200 block of 37th Pl SE,0,4,0,post
2002286,2021-05-12,SOUTH,SOUTH ATLANTIC,Georgia,2020-04-03,Buford,2910 Buford Dr NE,2,2,0,post
